date,events
2020-02-29,<a href="https://plot.ly/">1</a>
2020-03-03,<a href="https://plot.ly/">2</a>
2020-03-04,<a href="https://plot.ly/">3</a>
2020-03-13,<a href="https://plot.ly/">4</a> <a href="https://plot.ly/">5</a>
2020-03-16,<a href="https://plot.ly/">6</a>
2020-03-23,<a href="https://plot.ly/">7</a>
2020-04-05,<a href="https://plot.ly/">8</a>
2020-04-19,<a href="https://plot.ly/">9</a>
2020-05-01,<a href="https://plot.ly/">10</a>
2020-05-29,<a href="https://plot.ly/">11</a>
2020-06-01,<a href="https://plot.ly/">12</a>
2020-06-19,<a href="https://plot.ly/">13</a>
